S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Finance,Risk Management Knowledge Area - PMP Training,33hrs 23min,12th,English/Hindi,Module 1: Introduction to Risk Management,The Basics of Risk Management,https://www.youtube.com/watch?v=GF0nidJHEsI
2,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Risk Management,Risk: Themes and Attitudes,https://www.youtube.com/watch?v=2pPD5p_aVBQ
3,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Risk Management,Plan Risk Management Process,https://www.youtube.com/watch?v=QbE8fDkwz-I
4,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Identification and Analysis,Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology,https://www.youtube.com/watch?v=K01FCO_7o2w
5,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Identification and Analysis,Risk Probability and Impact Assessment,https://www.youtube.com/watch?v=uTKoVa8krRs
6,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Identification and Analysis,Identify Risks Process,https://www.youtube.com/watch?v=a0pAWPrKiGk
7,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Risk Response and Monitoring,Risk Register,https://www.youtube.com/watch?v=YArPMPSVbzA
8,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Risk Response and Monitoring,Perform Qualitative Risk Analysis Process,https://www.youtube.com/watch?v=omrFMM3NPR4
9,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Risk Response and Monitoring,Probability and Impact Matrix,https://www.youtube.com/watch?v=HK4zRmd4wFM
10,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Perform Quantitative Risk Analysis Risk Process,https://www.youtube.com/watch?v=clRRVbDYQsM
11,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Expected Monetary Value (EMV) Calculation | EMV Example,https://www.youtube.com/watch?v=xzC0kMqIrcQ
12,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Plan Risk Responses Process,https://www.youtube.com/watch?v=8tZVKO4xfiw
13,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks,https://www.youtube.com/watch?v=lTLdkpcPwGg
14,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Implement Risk Responses Process,https://www.youtube.com/watch?v=H0cIYtQqqKw
15,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Monitor Risks Process,https://www.youtube.com/watch?v=0FGPn4BPZsg
16,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,What is a Watchlist in Risk Management?,https://www.youtube.com/watch?v=4nkUhqErB1s
17,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Risk Trigger,https://www.youtube.com/watch?v=0VDFgtEYlcs
18,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,What are Contingency Reserve and Management Reserve? How are they used in the project?,https://www.youtube.com/watch?v=OMKqYclX9pQ
19,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Sensitivity Analysis using Tornado Diagrams,https://www.youtube.com/watch?v=6ojHXG27w-s
20,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Decision Tree Analysis for calculating Expected Monetary Value (EMV) | Decision Tree Example,https://www.youtube.com/watch?v=vmkdHT9VmZg
21,Finance,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Advanced Risk Management Techniques,Risk Response Strategy - Escalate Risks,https://www.youtube.com/watch?v=eeV1lHivPXk
